"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","909","createUserValidaContrato()","","Mon Feb 03 02:02:49 GMT 2025","failed","Mon Feb 03 02:02:50 GMT 2025","","Usuarios","Usuarios","createUserValidaContrato"
"","2879","login()","","Mon Feb 03 02:02:46 GMT 2025","passed","Mon Feb 03 02:02:49 GMT 2025","","Login","Login","login"
"","21","teste()","","Mon Feb 03 02:02:50 GMT 2025","passed","Mon Feb 03 02:02:50 GMT 2025","","teste","teste","teste"
