"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","teste()","","Mon Feb 03 02:07:17 GMT 2025","passed","Mon Feb 03 02:07:17 GMT 2025","","teste","teste","teste"
"","1190","createUserValidaContrato()","","Mon Feb 03 02:07:16 GMT 2025","failed","Mon Feb 03 02:07:17 GMT 2025","","Usuarios","Usuarios","createUserValidaContrato"
"","2839","login()","","Mon Feb 03 02:07:13 GMT 2025","passed","Mon Feb 03 02:07:16 GMT 2025","","Login","Login","login"
