"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2304","createUserValidaContrato()","","Mon Feb 03 13:11:47 GMT 2025","passed","Mon Feb 03 13:11:49 GMT 2025","","Usuarios","Usuarios","createUserValidaContrato"
"","1","teste()","","Mon Feb 03 13:11:49 GMT 2025","passed","Mon Feb 03 13:11:49 GMT 2025","","teste","teste","teste"
